Threads,Program,Run,Time
1,mandelbrot,1,17.0743
1,mandelbrot,2,17.0034
1,mandelbrot,3,17.0097
1,mandelbrot,4,17.0102
1,mandelbrot,5,17.0038
1,mandelbrot,6,17.0004
1,mandelbrot,7,17.0007
1,mandelbrot,8,16.9991
1,mandelbrot,9,17.0313
1,mandelbrot,10,16.9915
1,mandelbrot_opt,1,9.8388
1,mandelbrot_opt,2,9.8033
1,mandelbrot_opt,3,9.7966
1,mandelbrot_opt,4,9.8006
1,mandelbrot_opt,5,9.8022
1,mandelbrot_opt,6,9.8080
1,mandelbrot_opt,7,9.8103
1,mandelbrot_opt,8,9.8023
1,mandelbrot_opt,9,9.8203
1,mandelbrot_opt,10,9.8012
2,mandelbrot,1,17.0111
2,mandelbrot,2,17.0053
2,mandelbrot,3,17.0018
2,mandelbrot,4,17.0319
2,mandelbrot,5,17.0134
2,mandelbrot,6,17.1160
2,mandelbrot,7,17.0079
2,mandelbrot,8,16.9417
2,mandelbrot,9,17.0021
2,mandelbrot,10,16.9971
2,mandelbrot_opt,1,9.8006
2,mandelbrot_opt,2,9.8009
2,mandelbrot_opt,3,9.8015
2,mandelbrot_opt,4,9.8080
2,mandelbrot_opt,5,9.8027
2,mandelbrot_opt,6,9.8009
2,mandelbrot_opt,7,9.8048
2,mandelbrot_opt,8,9.8263
2,mandelbrot_opt,9,9.7984
2,mandelbrot_opt,10,9.8094
4,mandelbrot,1,17.0329
4,mandelbrot,2,17.0282
4,mandelbrot,3,17.0061
4,mandelbrot,4,17.0135
4,mandelbrot,5,17.0099
4,mandelbrot,6,17.0096
4,mandelbrot,7,16.9941
4,mandelbrot,8,17.0075
4,mandelbrot,9,16.9949
4,mandelbrot,10,17.0255
4,mandelbrot_opt,1,9.8276
4,mandelbrot_opt,2,9.7766
4,mandelbrot_opt,3,9.8317
4,mandelbrot_opt,4,9.8146
4,mandelbrot_opt,5,9.8053
4,mandelbrot_opt,6,9.8071
4,mandelbrot_opt,7,9.8126
4,mandelbrot_opt,8,9.8103
4,mandelbrot_opt,9,9.8074
4,mandelbrot_opt,10,9.8126
8,mandelbrot,1,17.0142
8,mandelbrot,2,17.0044
8,mandelbrot,3,17.0156
8,mandelbrot,4,17.0027
8,mandelbrot,5,17.0348
8,mandelbrot,6,17.0086
8,mandelbrot,7,17.0230
8,mandelbrot,8,17.0027
8,mandelbrot,9,17.0060
8,mandelbrot,10,16.9805
8,mandelbrot_opt,1,9.7922
8,mandelbrot_opt,2,9.7937
8,mandelbrot_opt,3,9.8053
8,mandelbrot_opt,4,9.7932
8,mandelbrot_opt,5,9.8080
8,mandelbrot_opt,6,9.8077
8,mandelbrot_opt,7,9.8106
8,mandelbrot_opt,8,9.8095
8,mandelbrot_opt,9,9.7998
8,mandelbrot_opt,10,9.7775
12,mandelbrot,1,17.0186
12,mandelbrot,2,16.9622
12,mandelbrot,3,16.9437
12,mandelbrot,4,16.9523
12,mandelbrot,5,16.9595
12,mandelbrot,6,16.9475
12,mandelbrot,7,16.9490
12,mandelbrot,8,16.9722
12,mandelbrot,9,16.9449
12,mandelbrot,10,16.9418
12,mandelbrot_opt,1,9.7891
12,mandelbrot_opt,2,9.7733
12,mandelbrot_opt,3,9.7717
12,mandelbrot_opt,4,9.7705
12,mandelbrot_opt,5,9.7880
12,mandelbrot_opt,6,9.7712
12,mandelbrot_opt,7,9.7715
12,mandelbrot_opt,8,9.7726
12,mandelbrot_opt,9,9.7714
12,mandelbrot_opt,10,9.7727
